session_day,has_0930,close_0925,composite_depth,n_hvn,levels_present,ambiguous_bars,side,sweep_time,swept_levels,swept_level,swept_type,sweep_extreme,pre_sweep_swing,conf_time,conf_types,conf_any,ifvg_fresh_on_conf_bar,range_lo,range_hi,eq,zones_any,zone_used,zone_low,zone_high,zone_time,fill_time,entry,outcome
2026-02-16,1,6859.25,0,0,ASIA_H=6873.00;LON_H=6885.50;ASIA_L=6844.25;LON_L=6866.75;H1_SH=6871.50;H1_SL=6856.25,,1,09:30,H1_SL;LON_L,H1_SL,H1,6856.00,6878.25,09:50,ifvg,ifvg@09:50,1,6856.00,6861.50,6858.75,eq@09:50;fvg@09:55,fvg,6856.75,6858.75,10:00,,,no_fill
2026-02-17,1,6835.00,1,4,ASIA_H=6869.75;LON_H=6848.00;PDH=6885.50;ASIA_L=6810.00;LON_L=6805.75;PDL=6841.00;H1_SH=6848.00;H1_SL=6810.00;H4_SH=6885.50;POC_PREV=6862.50;HVN_1=6852.50;HVN_2=6854.50;HVN_3=6861.50;HVN_4=6875.50,09:30;09:40,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-02-18,1,6873.75,2,1,ASIA_H=6878.75;LON_H=6904.00;PDH=6883.75;ASIA_L=6848.75;LON_L=6874.75;PDL=6791.00;H1_SH=6883.75;H1_SL=6871.50;H4_SH=6883.75;H4_SL=6791.00;POC_PREV=6859.50;HVN_1=6860.50,09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-02-19,1,6870.75,3,4,ASIA_H=6911.50;LON_H=6912.50;PDH=6925.75;ASIA_L=6886.75;LON_L=6866.25;PDL=6848.75;H1_SH=6871.50;H1_SL=6870.25;H4_SH=6883.75;H4_SL=6791.00;POC_PREV=6918.50;HVN_1=6875.50;HVN_2=6860.50;HVN_3=6896.50;HVN_4=6917.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-02-20,1,6852.75,4,2,ASIA_H=6900.00;LON_H=6904.75;PDH=6912.50;ASIA_L=6871.25;LON_L=6860.50;PDL=6847.75;H1_SH=6869.75;H1_SL=6848.75;H4_SH=6883.75;H4_SL=6847.75;POC_PREV=6872.50;HVN_1=6861.50;HVN_2=6875.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-02-23,1,6908.25,5,5,ASIA_H=6923.00;LON_H=6913.25;PDH=6931.50;ASIA_L=6867.50;LON_L=6881.75;PDL=6847.25;H1_SH=6912.50;H1_SL=6890.00;H4_SH=6912.50;H4_SL=6847.75;POC_PREV=6917.50;HVN_1=6917.50;HVN_2=6898.50;HVN_3=6888.50;HVN_4=6874.50;HVN_5=6861.50,,-1,09:40,ASIA_H;POC_PREV;HVN_1;LON_H;H1_SH;H4_SH,ASIA_H,ASIA,6926.00,6899.50,09:45,bos+ifvg+ote,bos@09:45;ifvg@09:45;ote@09:45,1,6897.25,6926.00,6911.62,eq@09:45;ob@09:45,eq,6911.62,6911.62,09:45,,,no_fill
2026-02-24,1,6847.25,6,5,ASIA_H=6875.00;LON_H=6871.50;PDH=6930.25;ASIA_L=6853.00;LON_L=6845.75;PDL=6832.75;H1_SH=6848.00;H1_SL=6841.00;H4_SH=6883.75;H4_SL=6832.75;POC_PREV=6849.50;HVN_1=6856.50;HVN_2=6861.50;HVN_3=6875.50;HVN_4=6899.50;HVN_5=6917.50,09:30;09:35;09:40,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-02-25,1,6930.50,7,6,ASIA_H=6917.50;LON_H=6928.75;PDH=6912.75;ASIA_L=6892.25;LON_L=6903.75;PDL=6828.50;H1_SH=6931.50;H1_SL=6901.00;H4_SH=6931.50;H4_SL=6867.50;POC_PREV=6903.50;HVN_1=6917.50;HVN_2=6902.50;HVN_3=6888.50;HVN_4=6875.50;HVN_5=6861.50;HVN_6=6857.50,,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-02-26,1,6961.25,8,6,ASIA_H=6969.25;LON_H=6966.75;PDH=6983.75;ASIA_L=6941.25;LON_L=6950.50;PDL=6892.25;H1_SH=6963.50;H1_SL=6943.75;H4_SH=6983.75;H4_SL=6892.25;POC_PREV=6960.50;HVN_1=6917.50;HVN_2=6902.50;HVN_3=6888.50;HVN_4=6875.50;HVN_5=6861.50;HVN_6=6857.50,,1,09:40,ASIA_L;H1_SL;LON_L;POC_PREV,ASIA_L,ASIA,6937.00,6966.50,,,,,,,,,,,,,,,no_confirmation
2026-02-27,1,6856.00,9,6,ASIA_H=6908.25;LON_H=6915.50;PDH=6970.75;ASIA_L=6882.50;LON_L=6865.25;PDL=6870.75;H1_SH=6864.00;H1_SL=6850.25;H4_SH=6883.75;H4_SL=6847.75;POC_PREV=6919.50;HVN_1=6857.50;HVN_2=6861.50;HVN_3=6876.50;HVN_4=6890.50;HVN_5=6902.50;HVN_6=6918.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-03-02,1,6811.25,10,5,ASIA_H=6857.00;LON_H=6833.25;PDH=6915.50;ASIA_L=6782.25;LON_L=6768.50;PDL=6841.50;H1_SH=6848.00;H1_SL=6810.00;H4_SH=6883.75;H4_SL=6791.00;POC_PREV=6879.50;HVN_1=6862.50;HVN_2=6877.50;HVN_3=6890.50;HVN_4=6902.50;HVN_5=6918.50,09:30;09:35;09:40,-1,09:45,ASIA_H;H1_SH;LON_H,ASIA_H,ASIA,6858.00,6802.25,09:50,ifvg,ifvg@09:50,0,6841.50,6858.00,6849.75,eq@09:50,eq,6849.75,6849.75,09:50,09:55,6849.75,filled
2026-03-03,1,6772.50,11,4,ASIA_H=6886.00;LON_H=6816.25;PDH=6911.25;ASIA_L=6812.25;LON_L=6742.75;PDL=6768.50;H1_SH=6848.00;H1_SL=6768.50;H4_SH=6883.75;H4_SL=6768.50;POC_PREV=6887.50;HVN_1=6862.50;HVN_2=6878.50;HVN_3=6902.50;HVN_4=6918.50,,1,09:35,PDL;H1_SL;H4_SL;ASIA_L,PDL,PD,6763.75,6770.75,,,,,,,,,,,,,,,no_confirmation
2026-03-04,1,6838.75,12,4,ASIA_H=6833.00;LON_H=6856.75;PDH=6886.00;ASIA_L=6773.50;LON_L=6795.25;PDL=6718.75;H1_SH=6848.00;H1_SL=6834.75;H4_SH=6849.75;H4_SL=6832.75;POC_PREV=6826.50;HVN_1=6862.50;HVN_2=6878.50;HVN_3=6902.50;HVN_4=6918.50,,-1,09:30,LON_H;H4_SH;H1_SH;ASIA_H,LON_H,LON,6857.75,6843.50,09:35,bos+ifvg+ote,bos@09:35;ifvg@09:35;ote@09:35,1,6829.50,6857.75,6843.62,eq@09:35;breaker@09:35,breaker,6845.50,6854.75,09:35,10:00,6845.50,filled
2026-03-05,1,6842.25,13,4,ASIA_H=6900.75;LON_H=6894.00;PDH=6894.00;ASIA_L=6844.50;LON_L=6840.50;PDL=6773.50;H1_SH=6848.00;H1_SL=6841.50;H4_SH=6849.75;H4_SL=6841.50;POC_PREV=6883.50;HVN_1=6863.50;HVN_2=6878.50;HVN_3=6902.50;HVN_4=6918.50,09:30,-1,09:35,HVN_1;H4_SH;H1_SH,HVN_1,HVN,6866.25,6835.75,09:40,ifvg,ifvg@09:40,0,6845.75,6866.25,6856.00,eq@09:40,eq,6856.00,6856.00,09:40,09:50,6856.00,filled
2026-03-06,1,6752.25,14,4,ASIA_H=6854.00;LON_H=6848.00;PDH=6900.75;ASIA_L=6822.25;LON_L=6783.75;PDL=6777.00;H1_SH=6801.00;H1_SL=6742.75;H4_SH=6849.75;H4_SL=6718.75;POC_PREV=6831.50;HVN_1=6863.50;HVN_2=6878.50;HVN_3=6902.50;HVN_4=6918.50,,1,09:45,H4_SL;H1_SL;PDL;LON_L;ASIA_L,H4_SL,H4,6717.75,6759.25,,,,,,,,,,,,,,,no_confirmation
2026-03-09,1,6681.50,15,4,ASIA_H=6693.00;LON_H=6701.50;PDH=6854.00;ASIA_L=6584.50;LON_L=6624.25;PDL=6715.75;H1_SH=6701.50;H1_SL=6612.00;H4_SH=6849.75;POC_PREV=6766.50;HVN_1=6863.50;HVN_2=6878.50;HVN_3=6902.50;HVN_4=6918.50,09:30,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-03-10,1,6795.00,16,4,ASIA_H=6800.75;LON_H=6833.50;PDH=6818.50;ASIA_L=6762.50;LON_L=6772.50;PDL=6584.50;H1_SH=6796.00;H1_SL=6791.00;H4_SH=6818.50;H4_SL=6791.00;POC_PREV=6705.50;HVN_1=6863.50;HVN_2=6878.50;HVN_3=6902.50;HVN_4=6918.50,09:30,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-03-11,1,6792.25,17,6,ASIA_H=6822.50;LON_H=6807.50;PDH=6852.00;ASIA_L=6782.50;LON_L=6768.25;PDL=6762.50;H1_SH=6796.00;H1_SL=6791.00;H4_SH=6818.50;H4_SL=6791.00;POC_PREV=6828.50;HVN_1=6832.50;HVN_2=6838.50;HVN_3=6863.50;HVN_4=6878.50;HVN_5=6902.50;HVN_6=6918.50,,-1,09:30,H1_SH,H1_SH,H1,6800.50,6764.00,09:35,ifvg,ifvg@09:35,0,6791.75,6800.50,6796.12,eq@09:35;breaker@09:35,eq,6796.12,6796.12,09:35,09:55,6796.12,filled
2026-03-12,1,6726.75,18,6,ASIA_H=6769.50;LON_H=6760.75;PDH=6822.50;ASIA_L=6705.75;LON_L=6730.25;PDL=6749.75;H1_SH=6741.00;H1_SL=6718.75;H4_SH=6818.00;H4_SL=6718.75;POC_PREV=6778.50;HVN_1=6791.50;HVN_2=6832.50;HVN_3=6838.50;HVN_4=6863.50;HVN_5=6878.50;HVN_6=6902.50,,1,09:30,H1_SL;H4_SL;LON_L;PDL,H1_SL,H1,6714.25,6741.50,09:35,ifvg,ifvg@09:35,0,6714.25,6732.00,6723.12,eq@09:35;fvg@10:05,eq,6723.12,6723.12,09:35,09:50,6717.25,filled
2026-03-13,1,6706.75,19,6,ASIA_H=6711.75;LON_H=6710.00;PDH=6769.50;ASIA_L=6667.50;LON_L=6640.00;PDL=6671.75;H1_SH=6711.75;H1_SL=6705.75;H4_SH=6760.75;H4_SL=6584.50;POC_PREV=6704.50;HVN_1=6791.50;HVN_2=6832.50;HVN_3=6838.50;HVN_4=6863.50;HVN_5=6878.50;HVN_6=6902.50,09:30;09:35,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-03-16,1,6697.25,20,6,ASIA_H=6680.00;LON_H=6702.00;PDH=6737.50;ASIA_L=6608.50;LON_L=6652.00;PDL=6625.00;H1_SH=6701.50;H1_SL=6684.50;H4_SH=6737.50;H4_SL=6608.50;POC_PREV=6655.50;HVN_1=6791.50;HVN_2=6832.50;HVN_3=6838.50;HVN_4=6863.50;HVN_5=6878.50;HVN_6=6902.50,,-1,09:30,LON_H;H1_SH;ASIA_H,LON_H,LON,6702.50,6693.00,,,,,,,,,,,,,,,no_confirmation
2026-03-17,1,6787.75,20,6,ASIA_H=6752.50;LON_H=6766.50;PDH=6734.25;ASIA_L=6715.75;LON_L=6717.50;PDL=6608.50;H1_SH=6796.00;H1_SL=6779.75;H4_SH=6818.00;H4_SL=6777.00;POC_PREV=6703.50;HVN_1=6791.50;HVN_2=6832.50;HVN_3=6838.50;HVN_4=6863.50;HVN_5=6878.50;HVN_6=6902.50,,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-03-18,1,6746.25,20,6,ASIA_H=6814.00;LON_H=6811.75;PDH=6808.50;ASIA_L=6764.75;LON_L=6767.50;PDL=6715.75;H1_SH=6752.50;H1_SL=6742.75;H4_SH=6752.50;H4_SL=6718.75;POC_PREV=6774.50;HVN_1=6774.50;HVN_2=6704.50;HVN_3=6789.50;HVN_4=6878.50;HVN_5=6902.50;HVN_6=6918.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-03-19,1,6629.25,20,6,ASIA_H=6695.00;LON_H=6682.00;PDH=6814.00;ASIA_L=6656.75;LON_L=6633.25;PDL=6654.50;H1_SH=6682.00;H1_SL=6612.00;H4_SH=6737.50;H4_SL=6608.50;POC_PREV=6734.50;HVN_1=6704.50;HVN_2=6774.50;HVN_3=6790.50;HVN_4=6832.50;HVN_5=6839.50;HVN_6=6865.50,,1,09:30,H1_SL;LON_L;PDL;ASIA_L,H1_SL,H1,6611.75,6646.25,09:40,ifvg,ifvg@09:40;ote@09:45;bos@09:50,0,6611.75,6637.00,6624.38,eq@09:40,eq,6624.38,6624.38,09:40,,,no_fill
2026-03-20,1,6643.00,20,6,ASIA_H=6685.50;LON_H=6675.25;PDH=6695.00;ASIA_L=6651.50;LON_L=6607.75;PDL=6611.75;H1_SH=6658.25;H1_SL=6641.00;H4_SH=6692.00;H4_SL=6611.75;POC_PREV=6639.50;HVN_1=6704.50;HVN_2=6724.50;HVN_3=6774.50;HVN_4=6790.50;HVN_5=6827.50;HVN_6=6832.50,,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-03-23,1,6658.25,20,6,ASIA_H=6562.00;LON_H=6748.00;PDH=6685.50;ASIA_L=6496.75;LON_L=6483.50;PDL=6523.75;H1_SH=6675.25;H1_SL=6654.50;H4_SH=6692.00;H4_SL=6654.50;POC_PREV=6599.50;HVN_1=6659.50;HVN_2=6636.50;HVN_3=6704.50;HVN_4=6724.50;HVN_5=6774.50;HVN_6=6790.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-03-24,1,6589.00,20,6,ASIA_H=6652.50;LON_H=6653.50;PDH=6748.00;ASIA_L=6582.50;LON_L=6604.25;PDL=6483.50;H1_SH=6648.00;H1_SL=6587.50;H4_SH=6692.00;H4_SL=6584.50;POC_PREV=6652.50;HVN_1=6636.50;HVN_2=6657.50;HVN_3=6659.50;HVN_4=6677.50;HVN_5=6680.50;HVN_6=6704.50,,1,09:30,H4_SL;H1_SL;LON_L,H4_SL,H4,6584.00,6606.50,10:00,ifvg,ifvg@10:00;bos@10:05;ote@10:05,0,6584.00,6606.00,6595.00,fvg@10:00;eq@10:00;breaker@10:00,fvg,6590.50,6591.00,10:05,,,no_fill
2026-03-25,1,6661.75,20,6,ASIA_H=6671.50;LON_H=6681.50;PDH=6680.50;ASIA_L=6634.75;LON_L=6642.50;PDL=6573.50;H1_SH=6671.50;H1_SL=6654.50;H4_SH=6680.50;H4_SL=6654.50;POC_PREV=6607.50;HVN_1=6659.50;HVN_2=6657.50;HVN_3=6653.50;HVN_4=6650.50;HVN_5=6677.50;HVN_6=6680.50,,-1,09:30,HVN_5;ASIA_H;H1_SH,HVN_5,HVN,6678.00,6657.00,09:40,ifvg,ifvg@09:40;bos@09:45;ote@09:45,0,6660.75,6678.00,6669.38,eq@09:40;breaker@09:40,breaker,6670.25,6675.25,09:40,,,no_fill
2026-03-26,1,6593.25,20,6,ASIA_H=6647.00;LON_H=6622.75;PDH=6684.75;ASIA_L=6608.00;LON_L=6574.25;PDL=6616.50;H1_SH=6622.75;H1_SL=6590.00;H4_SH=6653.50;H4_SL=6584.50;POC_PREV=6654.50;HVN_1=6604.50;HVN_2=6638.50;HVN_3=6653.50;HVN_4=6676.50;HVN_5=6704.50;HVN_6=6724.50,,1,09:30,H4_SL;H1_SL;ASIA_L;PDL,H4_SL,H4,6582.75,6596.25,09:40,bos+ifvg+ote,bos@09:40;ifvg@09:40;ote@09:40,1,6582.75,6603.50,6593.12,eq@09:40,eq,6593.12,6593.12,09:40,,,no_fill
2026-03-27,1,6494.50,20,6,ASIA_H=6568.50;LON_H=6554.75;PDH=6647.00;ASIA_L=6534.25;LON_L=6489.25;PDL=6517.00;H1_SH=6558.00;H1_SL=6490.00;H4_SH=6653.50;H4_SL=6483.50;POC_PREV=6588.50;HVN_1=6602.50;HVN_2=6638.50;HVN_3=6653.50;HVN_4=6676.50;HVN_5=6704.50;HVN_6=6724.50,,1,09:45,H4_SL;LON_L;H1_SL;PDL;ASIA_L,H4_SL,H4,6478.75,6496.75,,,,,,,,,,,,,,,no_confirmation
2026-03-30,1,6468.00,20,6,ASIA_H=6435.50;LON_H=6481.75;PDH=6568.50;ASIA_L=6360.25;LON_L=6422.75;PDL=6389.00;H1_SH=6558.00;H1_SL=6360.25;H4_SH=6653.50;H4_SL=6360.25;POC_PREV=6463.50;HVN_1=6602.50;HVN_2=6638.50;HVN_3=6653.50;HVN_4=6676.50;HVN_5=6704.50;HVN_6=6724.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-03-31,1,6457.25,20,6,ASIA_H=6462.00;LON_H=6470.00;PDH=6481.75;ASIA_L=6353.25;LON_L=6421.50;PDL=6359.50;H1_SH=6462.00;H1_SL=6423.75;H4_SH=6481.75;H4_SL=6360.25;POC_PREV=6428.50;HVN_1=6602.50;HVN_2=6638.50;HVN_3=6653.50;HVN_4=6676.50;HVN_5=6704.50;HVN_6=6724.50,,-1,09:40,LON_H;ASIA_H;H1_SH,LON_H,LON,6473.00,6450.50,,,,,,,,,,,,,,,no_confirmation
2026-04-01,1,6606.00,20,6,ASIA_H=6622.00;LON_H=6630.75;PDH=6583.25;ASIA_L=6561.00;LON_L=6586.50;PDL=6353.25;H1_SH=6622.00;H1_SL=6598.50;H4_SH=6653.50;H4_SL=6584.50;POC_PREV=6569.50;HVN_1=6602.50;HVN_2=6638.50;HVN_3=6653.50;HVN_4=6676.50;HVN_5=6704.50;HVN_6=6724.50,,-1,09:30,ASIA_H;H1_SH;PDH,ASIA_H,ASIA,6622.25,6590.00,09:40,ifvg,ifvg@09:40,0,6601.25,6622.25,6611.75,eq@09:40;breaker@09:40,breaker,6614.25,6616.25,09:40,09:50,6614.25,filled
2026-04-02,1,6527.50,20,6,ASIA_H=6632.50;LON_H=6550.75;PDH=6653.75;ASIA_L=6520.00;LON_L=6503.75;PDL=6561.00;H1_SH=6550.75;H1_SL=6522.25;H4_SH=6653.50;H4_SL=6517.00;POC_PREV=6617.50;HVN_1=6605.50;HVN_2=6617.50;HVN_3=6637.50;HVN_4=6643.50;HVN_5=6645.50;HVN_6=6650.50,,1,09:40,H4_SL;ASIA_L;H1_SL;PDL,H4_SL,H4,6514.25,6538.50,09:45,ifvg+ote,ifvg@09:45;ote@09:45;bos@09:50,0,6514.25,6537.50,6525.88,eq@09:45,eq,6525.88,6525.88,09:45,,,no_fill
2026-04-06,1,6621.50,20,6,ASIA_H=6635.75;LON_H=6651.25;PDH=6639.00;ASIA_L=6567.00;LON_L=6614.25;PDL=6598.25;H1_SH=6622.00;H1_SL=6621.00;H4_SH=6639.00;H4_SL=6616.50;POC_PREV=6604.50;HVN_1=6617.50;HVN_2=6608.50;HVN_3=6637.50;HVN_4=6650.50;HVN_5=6652.50;HVN_6=6704.50,09:35,-1,09:40,ASIA_H;H1_SH,ASIA_H,ASIA,6636.25,6619.50,09:45,ifvg,ifvg@09:45,0,6622.25,6636.25,6629.25,eq@09:45;breaker@09:45;fvg@10:05,eq,6629.25,6629.25,09:45,09:50,6634.25,filled
2026-04-07,1,6629.50,20,4,ASIA_H=6659.25;LON_H=6667.00;PDH=6661.00;ASIA_L=6609.00;LON_L=6602.00;PDL=6567.00;H1_SH=6632.25;H1_SL=6621.50;H4_SH=6639.00;H4_SL=6616.50;POC_PREV=6646.50;HVN_1=6637.50;HVN_2=6619.50;HVN_3=6608.50;HVN_4=6702.50,09:30,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-04-08,1,6829.50,20,4,ASIA_H=6838.00;LON_H=6847.25;PDH=6673.50;ASIA_L=6652.25;LON_L=6817.00;PDL=6572.75;H1_SH=6833.00;H1_SL=6828.50;H4_SH=6849.75;H4_SL=6828.50;POC_PREV=6624.50;HVN_1=6643.50;HVN_2=6637.50;HVN_3=6628.50;HVN_4=6608.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-04-09,1,6812.75,20,4,ASIA_H=6823.00;LON_H=6813.25;PDH=6847.25;ASIA_L=6803.50;LON_L=6792.50;PDL=6652.25;H1_SH=6814.00;H1_SL=6810.00;H4_SH=6814.00;H4_SL=6791.00;POC_PREV=6814.50;HVN_1=6643.50;HVN_2=6637.50;HVN_3=6628.50;HVN_4=6608.50,09:30;09:35,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-04-10,1,6875.00,20,4,ASIA_H=6869.25;LON_H=6879.50;PDH=6876.00;ASIA_L=6851.00;LON_L=6850.50;PDL=6792.50;H1_SH=6876.00;H1_SL=6874.25;H4_SH=6876.00;H4_SL=6870.75;POC_PREV=6862.50;HVN_1=6643.50;HVN_2=6637.50;HVN_3=6628.50;HVN_4=6608.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-04-13,1,6834.75,20,4,ASIA_H=6816.75;LON_H=6831.50;PDH=6888.00;ASIA_L=6767.00;LON_L=6802.50;PDL=6846.25;H1_SH=6838.00;H1_SL=6832.75;H4_SH=6847.25;H4_SL=6832.75;POC_PREV=6856.50;HVN_1=6637.50;HVN_2=6628.50;HVN_3=6626.50;HVN_4=6608.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-04-14,1,6937.75,20,6,ASIA_H=6931.75;LON_H=6945.25;PDH=6928.25;ASIA_L=6920.25;LON_L=6924.75;PDL=6767.00;H1_SH=6953.25;H1_SL=6920.50;H4_SH=6970.75;H4_SL=6892.25;POC_PREV=6856.50;HVN_1=6855.50;HVN_2=6814.50;HVN_3=6637.50;HVN_4=6628.50;HVN_5=6626.50;HVN_6=6608.50,,-1,09:35,H1_SH;LON_H;ASIA_H;PDH,H1_SH,H1,6954.75,6937.25,,,,,,,,,,,,,,,no_confirmation
2026-04-15,1,7014.25,20,6,ASIA_H=7017.25;LON_H=7018.00;PDH=7008.00;ASIA_L=7000.50;LON_L=6991.75;PDL=6920.25;H1_SH=7017.25;H1_SL=7003.75;H4_SL=6920.25;POC_PREV=7001.50;HVN_1=6855.50;HVN_2=6814.50;HVN_3=6637.50;HVN_4=6628.50;HVN_5=6626.50;HVN_6=6608.50,,-1,09:40,LON_H;ASIA_H;H1_SH;PDH,LON_H,LON,7024.75,7006.00,09:45,ifvg,ifvg@09:45,0,7004.00,7024.75,7014.38,eq@09:45;ob@09:45,eq,7014.38,7014.38,09:45,09:55,7014.38,filled
2026-04-16,1,7071.75,20,6,ASIA_H=7078.50;LON_H=7077.25;PDH=7064.50;ASIA_L=7055.50;LON_L=7059.00;PDL=6991.75;H1_SH=7077.50;H1_SL=7068.25;H4_SL=6991.75;POC_PREV=7059.50;HVN_1=6855.50;HVN_2=6815.50;HVN_3=6637.50;HVN_4=6628.50;HVN_5=6626.50;HVN_6=6608.50,09:30;09:35;09:40;09:45,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-04-17,1,7121.00,20,6,ASIA_H=7085.50;LON_H=7114.25;PDH=7089.00;ASIA_L=7075.25;LON_L=7080.00;PDL=7046.50;H1_SL=7075.25;H4_SL=7046.50;POC_PREV=7075.50;HVN_1=6855.50;HVN_2=6815.50;HVN_3=6644.50;HVN_4=6637.50;HVN_5=6625.50;HVN_6=6608.50,,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-04-20,1,7148.25,20,6,ASIA_H=7128.50;LON_H=7136.25;PDH=7185.75;ASIA_L=7085.00;LON_L=7110.25;PDL=7075.25;H1_SH=7185.75;H1_SL=7110.25;H4_SH=7185.75;H4_SL=7085.00;POC_PREV=7163.50;HVN_1=6855.50;HVN_2=6815.50;HVN_3=6645.50;HVN_4=6638.50;HVN_5=6622.50;HVN_6=6620.50,,0,,,,,,,,,,,,,,,,,,,,,no_sweep
2026-04-21,1,7162.50,20,5,ASIA_H=7165.75;LON_H=7183.00;PDH=7160.50;ASIA_L=7150.00;LON_L=7154.50;PDL=7085.00;H1_SH=7185.75;H1_SL=7154.50;H4_SH=7185.75;H4_SL=7085.00;POC_PREV=7140.50;HVN_1=6855.50;HVN_2=6815.50;HVN_3=6645.50;HVN_4=6638.50;HVN_5=6619.50,09:30,1,09:40,ASIA_L;LON_L;H1_SL,ASIA_L,ASIA,7149.50,7164.00,09:45,ifvg+ote,ifvg@09:45;ote@09:45;bos@09:50,1,7149.50,7164.00,7156.75,eq@09:45;ob@09:45,eq,7156.75,7156.75,09:45,,,no_fill
